Producto_A,Codigo_A,Producto_B,Codigo_B,Soporte_Conjunto_%,Confianza_%,Lift,Soporte_A_%,Soporte_B_%
GINGER ALE CANADA DRY 2.5 L. REP.,7441003506541,GOMITA MORA 8O G.,7896451908681,0.0,2.5,0.62,0.13,0.03
AGUA CIELO 375 ML,7445072001341,GELATINA DIETX CEREZA,7441005692761,0.0,4.0,0.62,0.08,0.05
PAPAS  KIT CEBOLLA,7441107100263,PAPA KITTY MAYONESA PTE/15,7441107100751,0.01,13.79,0.62,0.09,0.18
MORTAELA ESPECIAL 250 GS,7441008930341,helado paleta tapita 85 gs,7441001642678,0.0,5.26,0.62,0.06,0.07
YOGURT LULA FRESA 100 ML,7441001643408,MAYONESA HELLMANNS SANDWICH 200G,7411000308936,0.0,3.03,0.62,0.11,0.04
EMPANIZADOR  PATITOS PESC 100G,756958010959,NATILLA DELACTOMY CON SAL 400G,7441001614996,0.0,3.03,0.62,0.11,0.04
REFRESCO TROPICAL FRUTAS 1000,764009010650,LEV. FLESMAN 125 G,7502231541114,0.0,2.78,0.62,0.12,0.04
"PERA D""ANJOU 100",535,ATUN PRONTO TROZOS 105G,731701013432,0.01,6.06,0.62,0.11,0.08
BIG  GINGER ALE 250 ML,7445072006056,ALIMENTO PERRO CACHORRO DUKETAS 1 K,7443007536494,0.01,2.53,0.62,0.26,0.03
REFRESCO TROPICAL FRUTAS 1000,764009010650,GALLETA COCANAS PAQ8 UNIDADES,7441163401786,0.0,2.78,0.62,0.12,0.04
REFRESCO TROPICAL FRUTAS 1000,764009010650,ARROLLADITO 3 UNIDADES,86581211196,0.0,2.78,0.62,0.12,0.04
Papas Victoria 120g Oferta,7443003610310,CONDENSADA DOY PACK NESTLE 320gr,8445290746641,0.0,2.78,0.62,0.12,0.04
Pan Blanco 580g,7441029526301,AZUCAR ZUKRA 2 K,7441042600002,0.01,4.76,0.62,0.14,0.06
cremoleta limon,7441001634178,QUEQUE CON HELADO VAINILLA 100 GS,7441001610035,0.0,5.0,0.62,0.06,0.06
chocalate morenito 100 grs,7441001633454,frijol rojo pelon 800 grs Z,7441006005195,0.0,2.27,0.62,0.14,0.03
NEVADITO LIMON 90H,7441134916059,BOLSA ZESTA JARDINERA NEGR PT5,806246110318,0.0,5.0,0.62,0.06,0.06
TRULULU COLOR MIX 80gr,7702993056554,Trululu Fresa 50g,7702993052242,0.0,5.26,0.62,0.06,0.07
YUCA CERVANTEÑA 200 GS,7443033150169,NATILLA LA GRANJA DOY PAK 400 G.,7441001608575,0.0,5.26,0.62,0.06,0.07
NUCITA TRISABOR CONFITES,75045739,REBANADA LA GRANJA,7441001616709,0.0,11.11,0.62,0.03,0.14
PLATO FESTIVAL Nº8,7441005620368,CONTENEDOR  PLASTICA #5,7441010632837,0.0,2.78,0.62,0.12,0.04
PLATO FESTIVAL Nº8,7441005620368,LEV. FLESMAN 125 G,7502231541114,0.0,2.78,0.62,0.12,0.04
YOGURT LULA FRESA 100 ML,7441001643408,GRISSINI CON QUESO LUPE 200 GS,7443000400808,0.0,3.03,0.62,0.11,0.04
magnecia rey,7441013106014,bebida monster juice pepeline punch 473,70847027133,0.0,5.0,0.62,0.06,0.06
magnecia rey,7441013106014,Gatorade bery blue 600 ml,764009041425,0.0,5.0,0.62,0.06,0.06
FRIJOL NEGRO .800 GRS MAXIMO Z,7441057502797,LECHE EVAPORADA PINITO LATA 410 GS,7441001641336,0.0,9.09,0.62,0.04,0.12
GALLETA POZ MARIA TUBO,86581006211,TOALLA X1 COCINA JAPPYKLUB UNIDAD,7404004205271,0.0,5.0,0.62,0.06,0.06
"PERA D""ANJOU 100",535,DETERGENTE ORIX BICARBONATO 450 GS,748928012100,0.0,3.03,0.62,0.11,0.04
REFRESCO BRIKO MANZANA 250 ML,7441001644887,2 PK CCSO 3L,7441003598140,0.0,4.55,0.62,0.07,0.06
SODA POZUELO X 21 UD,7441163407054,salsa tomate 385 gs banquete,735051001576,0.01,3.77,0.62,0.17,0.05
QUESADILLA FAVORITA Z,7443001260395,SORBETO LA JOSEFINA 125gr,759487000019,0.0,2.78,0.62,0.12,0.04
TUERCA MECANO 27 GS,7802215113567,NAV PAPEL REGALO BRILLANTE 80G 52X75CM 50PCS 20/CJ,199,0.0,14.29,0.62,0.02,0.18
DETERG. ORIX 900 GR,748928001876,SACO DE COMPRAS,51,0.0,10.0,0.62,0.03,0.13
SUERO HIDRATANTE ELECTROLIT UVA 625ML,7501125168437,TAQUERITOS EXTREMO QUESO FUSIÓN 190G,750894609499,0.0,3.03,0.62,0.11,0.04
vASO CARTON 7 1820,7441006826646,papas cervanteña 500 grs tostada,7443033150244,0.01,8.33,0.62,0.08,0.11
AUDIFONO D/SAMSUNG 1PC 51056-17,8998510560171,3 pack Bracos tosty 450g,7441000728496,0.0,6.25,0.62,0.05,0.08
SALCHICHAS DE RES TIQUICIA,3424,achiotin pelota grande,7443002260042,0.0,4.76,0.62,0.07,0.06
SUERO HIDRATANTE ELECTROLIT UVA 625ML,7501125168437,bolsa papel #4 1x20,819,0.0,3.03,0.62,0.11,0.04
IMPERIAL LIGHT LATA PEQ,764009000668,ADAN Y EVA MARACUYA Y PINA 355 ML,764009047830,0.0,4.0,0.62,0.08,0.05
YOGURT LIQUIDO FRUTAS CORONADO BOLSA 180G,7441013560441,HARINA MISABOR  1KILO Z,7441010611450,0.0,5.56,0.62,0.06,0.07
DESOD REXONA V8 ROLLON 30ML,78930841,CEPILLO DENTAL DURO,61,0.0,6.25,0.62,0.05,0.08
FRIJOL ROJO EL ANGEL 700 GS,7441004111065,PABILO TEXTIL #3,22018258,0.0,9.09,0.62,0.04,0.12
DETERGENTE SURF ROSAS FLORES 1.1 K,7411000347324,PROTEX AVENA,99176922346,0.0,8.33,0.62,0.04,0.11
Maiz Chino 12g,748757011381,CHURRITOS DIANA 97 GS,748757000088,0.0,2.0,0.62,0.16,0.03
Maiz Chino 12g,748757011381,COLADOS AGU FRUTAS TROPICALES 113G,748928009636,0.0,2.0,0.62,0.16,0.03
CINTA SCOCH 3559            2WC9-60,3456789113559,Prensa para pelo,15071,0.0,4.55,0.62,0.07,0.06
REFRESCO TROPICAL FRUTAS 1000,764009010650,VASO FESTIVAL Nº7,7441005620429,0.01,8.33,0.62,0.12,0.11
REFRESCO TROPICAL FRUTAS 1000,764009010650,GALLETA GAMA CLUB MAX,753081008914,0.0,2.78,0.62,0.12,0.04
REBANADA LA GRANJA,7441001616709,LECHE CORONADO  DESCREMADA 100%,7441013500065,0.0,2.27,0.62,0.14,0.03
GALLETA POZ MARIA TUBO,86581006211,AVENA QUAKER MOSH 180GRS Z,803275305029,0.0,5.0,0.62,0.06,0.06
desotres  clasico,99176918424,RUMBA REDONDITAS 175GR,7441000710583,0.0,5.56,0.62,0.06,0.07
BEBIDA FORTILAC 180 ML D. P.,7441001648526,FRIJOLES MOLIDOS ROJOS SIN PICANTE SANTA CRUZ,796500003411,0.0,5.26,0.62,0.06,0.07
BARQUILLOS JACKS VETEADO,7441001000058,TOSTY MIX 300G,7441000711986,0.0,3.03,0.62,0.11,0.04
tang limon 13 g.,7622201393465,CHAN ESPECIES PARAISO,7441094102622,0.0,5.56,0.62,0.06,0.07
TORTA DE RES ZARAGOZA,3432,rebanadas de  queso amarillo la granja 8 uds.,7441001641725,0.0,4.76,0.62,0.07,0.06
SOBRE DE 5 U. DE RES MAGGI CONSOME,8445291259416,AZUCAR ZUKRA 2 K,7441042600002,0.0,4.76,0.62,0.07,0.06
LECHE EVAPORADA PINITO LATA 410 GS,7441001641336,NACHOS PAPICAR 250 GS,768965000014,0.0,2.78,0.62,0.12,0.04
ALAS DE POLLO Z,345,PAPRIKA,7441094102479,0.01,3.77,0.62,0.17,0.05
AVENA QUAKER MOSH 180GRS Z,803275305029,LECHE ENTERA CORONADO 350 GS.,7441013505695,0.0,5.0,0.62,0.06,0.06
AVENA QUAKER MOSH 180GRS Z,803275305029,TOALLA X1 COCINA JAPPYKLUB UNIDAD,7404004205271,0.0,5.0,0.62,0.06,0.06
SOPA POLLO FIDEOS MAGGI,7613035396203,CAFE 100 % VALLE PURO 250 G,7441042100045,0.01,4.55,0.62,0.14,0.06
SOPA POLLO FIDEOS MAGGI,7613035396203,cHOCO BLAST 22F,803275306330,0.0,2.27,0.62,0.14,0.03
bigote dulce leche,7441029518627,JUGO VALLE FRESH MANGO FRESA 330 ML,7411001804956,0.0,4.0,0.62,0.08,0.05
IMPERIAL LIGHT LATA PEQ,764009000668,cebollino jacks 30 g,32449,0.0,4.0,0.62,0.08,0.05
JALEA GUAYABA UJARRAS 225G,7441041002845,BIZCOCHOS ZARCERENOS FRAND MAIZ,7443031270012,0.0,5.56,0.62,0.06,0.07
SUERO HIDRATANTE ELECTROLIT UVA 625ML,7501125168437,PANADOL EXTRAFU ADUL DP/100,7451079000133,0.0,3.03,0.62,0.11,0.04
PLATO FESTIVAL Nº8,7441005620368,GALLETA COCANAS PAQ8 UNIDADES,7441163401786,0.0,2.78,0.62,0.12,0.04
PAPEL HIGIENICO ROSAL MEDIANO 1X4,766324304315,HAMBURGUESA BIMBO 450 GS  8 UDS,7441029500202,0.0,2.78,0.62,0.12,0.04
EMPANIZADOR  PATITOS PESC 100G,756958010959,RODITAS,7441001045288,0.0,3.03,0.62,0.11,0.04
LAVAPLATOS AXION REG 235G,99176263951,CAFE SASO TWO PACK 180gr,748366400187,0.01,12.0,0.62,0.08,0.16
ROMPOPE D.P. TB   250 ML.,7441001613012,YOGURT DOS PINOS COCO 125 GS,7441001616136,0.0,2.5,0.62,0.13,0.03
ROMPOPE D.P. TB   250 ML.,7441001613012,REVOLCON CHICLE POLVO 12gr,7702993056172,0.0,2.5,0.62,0.13,0.03
ROMPOPE D.P. TB   250 ML.,7441001613012,MANI CHOCOLATE PRO 70 GS,7441005711516,0.0,2.5,0.62,0.13,0.03
ACHIOTIN EN CAJA 95G,7443002260004,COCTEL DE FRUTAS MI SABOR 820G,7441010611160,0.0,4.0,0.62,0.08,0.05
PROTEX AVENA,99176922346,luisiana 99  900 g,7441000712655,0.0,3.03,0.62,0.11,0.04
PROTEX AVENA,99176922346,BIZCOCHO ARTESANAL,7443031270357,0.0,3.03,0.62,0.11,0.04
PAN ASPIRAL C/ CREMA,7443001260296,PAN ASPIRAL FAVORITA DEL VALLE Z,7443001260302,0.01,9.09,0.62,0.07,0.12
FRIJOLES ROJOS MR MAXIMO 400G Z,7441057501417,ACEITE CLOVER SOYA 1/2 LT,751963311213,0.0,4.55,0.62,0.07,0.06
REBANADA LA GRANJA,7441001616709,MUSLITO DE POLLO LA GRANJA 4 UDS,7441001638640,0.0,2.27,0.62,0.14,0.03
LECHE EVAPORADA PINITO LATA 410 GS,7441001641336,GELATINA ROYAL FRAMBRUESA 80GR Z,7622300718985,0.0,2.78,0.62,0.12,0.04
chocalate morenito 100 grs,7441001633454,AZUCAR JUAN VIÑAS 2KILOS,7441036101225,0.0,2.27,0.62,0.14,0.03
ranchita pizza 250 gs,750894612765,LIBRO SOPA DE LETRAS 0127-C 14X21CM 288/CJ,7689632101274,0.0,2.0,0.62,0.16,0.03
ACEITE MR MAXIMO 500ML DE SOYA,7441057500724,PROTEX BALANCE,99176922261,0.0,4.0,0.62,0.08,0.05
DALMATA MARIANELA 45 GS,74001187,COCO DESHIDRATADO,7441094102240,0.0,4.76,0.62,0.07,0.06
PINITOS LULA CHOCOLATE 200 ML,7441001620423,MARSMELOS CRISMELOS 75 G,760203006598,0.0,5.56,0.62,0.06,0.07
CURRY MOLIDO,7441094102493,CAFE REY ROJO  125GRS,748366123499,0.01,17.65,0.62,0.06,0.23
ROSCAS DE QUESO ZARCEREÑAS,7443000400037,TAQUERITOS CHILE TOREADO 80 GS,750894611256,0.0,4.76,0.62,0.07,0.06
TABCIN CAPSULA GRIPE Y TOS,11418672208,helado paquita cas sensacion,7441134014106,0.0,5.56,0.62,0.06,0.07
CLUB SODA CANADA DRY 600 ML.,7441003570481,ALGODON PRECIOSA EN BOLITAS BOLSA 25 UND 15 GRS,7415800230596,0.0,2.0,0.62,0.16,0.03
CLUB SODA CANADA DRY 600 ML.,7441003570481,TRIDENT MENTA 8gr,7895800304228,0.0,2.0,0.62,0.16,0.03
SOPA POLLO FIDEOS MAGGI,7613035396203,ZUKO NARANJA FRESA 13gr,7503037746178,0.0,2.27,0.62,0.14,0.03
"PERA D""ANJOU 100",535,MAYONESA HELLMANNS SANDWICH 200G,7411000308936,0.0,3.03,0.62,0.11,0.04
SAL SOLAR 500GS     Z,7441003600300,ATUN SARDIMAR LOMO TROCITOS 105GS,7441002600158,0.01,3.77,0.62,0.17,0.05
PROTEX AVENA,99176922346,PAPEL ALUMINIO 25 PIESCUADRA EZWRAP,7441010606685,0.0,3.03,0.62,0.11,0.04
OFERTA MILANO 3 PACK SPAG.,731701004140,TOALLA X1 COCINA JAPPYKLUB UNIDAD,7404004205271,0.0,5.0,0.62,0.06,0.06
HARINA FLORES 2 K Z,7441010410091,CONDENSADA MI SABOR 370.GS,7441010640207,0.0,4.0,0.62,0.08,0.05
MAGDALENA DEL VALLE 1X8,7443001260630,ILUSTRADO MEDIANO FAVORITA,7443001260470,0.0,6.25,0.62,0.05,0.08
chocalate morenito 100 grs,7441001633454,JET KOLITA 600 ML,764009053848,0.0,2.27,0.62,0.14,0.03
chocalate morenito 100 grs,7441001633454,HONGOS TOÑOS 425GRS,796500002476,0.0,2.27,0.62,0.14,0.03
ILUSTRADO MEDIANO FAVORITA,7443001260470,MORTADELA SIN TOCINO 250 G,7441008932048,0.0,4.0,0.62,0.08,0.05
ILUSTRADO MEDIANO FAVORITA,7443001260470,ILUSTRADOS GDE DEL VALLE,7443001260463,0.0,4.0,0.62,0.08,0.05
papas cervanteña 500 grs tostada,7443033150244,ARROZ MR MAXIMO PRECOSIDO 1K,7441057501363,0.0,3.03,0.62,0.11,0.04
PAPEL HIGIENICO ROSAL MEDIANO 1X4,766324304315,GALLETA COCANAS PAQ8 UNIDADES,7441163401786,0.0,2.78,0.62,0.12,0.04
PAPEL HIGIENICO ROSAL MEDIANO 1X4,766324304315,SOPA  MARUCHAN POLLO BOLSA 85G,41789002915,0.0,2.78,0.62,0.12,0.04
CAFE REY ROJO  125GRS,748366123499,SALSA TOMATE BANQUETE 100GR,735051007127,0.01,4.29,0.62,0.23,0.06
BISCOCHOS LAS DELICIAS 120GRS,7528,PAPAEL ALUMINIO POLIPAK 16 M. REP.,7441005624397,0.01,2.78,0.62,0.23,0.04
CANASTILLA ESPECIAL DEL VALLE,7443001260128,GALLETA COCANAS PAQ8 UNIDADES,7441163401786,0.0,2.78,0.62,0.12,0.04
Bon o bon blanco 75g,7500443005950,Chiles panameños 4u,5551,0.0,5.26,0.62,0.06,0.07
SOPA INSTANTANEA ISSIMA POLLO,750894680078,BOLSA ZESTA GRANDE 9U,2315,0.0,4.55,0.62,0.07,0.06
pulp. Melocoton,7445072005127,Fusion Roditas naranitas,7441001007132,0.0,4.0,0.62,0.08,0.05
pulp. Melocoton,7445072005127,ALIMENTO PERRO CORDERO SUPE PERRO,7441007802908,0.0,4.0,0.62,0.08,0.05
LUCEMA SPAGUETTI  250G,7441011611015,TAN PINA GUAYABA 130GS,7622202008542,0.0,3.03,0.62,0.11,0.04
PROTEX AVENA,99176922346,VINO MONASTERIO UVA 750MOL,7441007610091,0.0,3.03,0.62,0.11,0.04
ACHIOTIN EN CAJA 95G,7443002260004,SODA GAMA 2 PACKS,753081009010,0.0,4.0,0.62,0.08,0.05
HELADOS PAQUITA COCO SENSACION,3010403,GOLOSINAS DE 125,48,0.0,2.27,0.62,0.14,0.03
papas cervanteña 500 grs tostada,7443033150244,VINO MONASTERIO UVA 750MOL,7441007610091,0.0,3.03,0.62,0.11,0.04
ROSCAS DE QUESO ZARCEREÑAS,7443000400037,QUEQUE SECO LA FAVORITA DEL VALLE,7443001260012,0.0,4.76,0.62,0.07,0.06
MANI CON LIMON PRO 80 GS,7441005703054,MINI MARSMELOS WILLY,7569710002658,0.0,4.0,0.62,0.08,0.05
ILUSTRADO MEDIANO FAVORITA,7443001260470,PROTEX BALANCE,99176922261,0.0,4.0,0.62,0.08,0.05
EMPANIZADOR  PATITOS PESC 100G,756958010959,BIZCOCHO ARTESANAL,7443031270357,0.0,3.03,0.62,0.11,0.04
LECHE EVAPORADA PINITO LATA 410 GS,7441001641336,TAZA PARA POSTRE 1x50,7441010640689,0.0,2.78,0.62,0.12,0.04
AZUCAR BLANCO DONA MARIA 2K,7441042699624,ZUKO NARANJA 13gr,7503037746246,0.01,2.5,0.62,0.39,0.03
AZUCAR BLANCO DONA MARIA 2K,7441042699624,TOALLA COCINA SELPAK,8690530008847,0.01,2.5,0.62,0.39,0.03
Consome costilla 5 pack,7613033100901,BOLSA CHEPITA GRANDE 9U,748928000985,0.0,1.75,0.62,0.18,0.02
CUBITO CONCENTRADO MAGUI 10 UNI,88169405607,MENUDOS DE POLLO Z,3410,0.0,5.26,0.62,0.06,0.07
AZUCAR BLANCO DONA MARIA 2K,7441042699624,CAFE QUETZAL 500 G,7441042800020,0.02,5.0,0.62,0.39,0.06
LECHE ENTERA CORONADO 350 GS.,7441013505695,CAFE QUETZAL 500 G,7441042800020,0.0,5.0,0.62,0.06,0.06
Maiz Chino 12g,748757011381,JUG. MUNECO STITCH 1PC 51367-1,8998513670013,0.0,2.0,0.62,0.16,0.03
PLASTIGEL BURBUJA UNIDAD,7441002100924,halls mora azul lyptus,7622210427137,0.0,8.33,0.62,0.04,0.11
TRIDENT MENTA 18 PS,7506105606053,Leche pinito 1 Litro,7441001601118,0.0,9.09,0.62,0.04,0.12
ROMPOPE D.P. TB   250 ML.,7441001613012,POPI BUBBALOO  XTREME ADAMS,7501056900151,0.0,2.5,0.62,0.13,0.03
Filtros Café 1820 50u,7441006828459,CHAMPU DOVE KERAQTINA  SACHET,7411000365960,0.0,12.5,0.62,0.03,0.16
gato osmay Vainilla,89198353,CEREAL JACKS TRIJUELAS 170G,7441001000553,0.0,2.78,0.62,0.12,0.04
helado paquita cas sensacion,7441134014106,CHICHARRON LIMON  JACKS 15 G.,7441001000874,0.0,4.55,0.62,0.07,0.06
FOSFOROS QUEZAL 1X10,7452100250077,suavitel fresca primavera 450 ml,7509546017808,0.0,5.56,0.62,0.06,0.07
pimienta pizza,7441094102882,SOPA  MARUCHAN QUESO 64GRS,41789001833,0.0,6.25,0.62,0.05,0.08
ANTIFLUDES,7501088503221,CANELA EN POLVO BADIA,33844000301,0.0,1.75,0.62,0.18,0.02
VEGETAL PRONTO 105,731701011711,SERVILLETA REGIO BLANCA  1X100,7441008147503,0.0,2.27,0.62,0.14,0.03
rebanadas de  queso amarillo la granja 8 uds.,7441001641725,NATILLA LA GRANJA DOY PAK 400 G.,7441001608575,0.0,5.26,0.62,0.06,0.07
CANASTILLA ESPECIAL DEL VALLE,7443001260128,ZUKO DURAZNO 13gr,7503037746109,0.0,2.78,0.62,0.12,0.04
CANASTILLA ESPECIAL DEL VALLE,7443001260128,ESPONJA X3 CONSTRATE,757962046767,0.0,2.78,0.62,0.12,0.04
PAPEL HIGIENICO IDEAL 1000H 1X4 Z,7441010603424,ZUKO NARANJA 13gr,7503037746246,0.0,2.5,0.62,0.13,0.03
PAPEL HIGIENICO IDEAL 1000H 1X4 Z,7441010603424,bokita club integral bs 9,7441163406811,0.0,2.5,0.62,0.13,0.03
GALLETAS SALMAS,658480001101,PLATO FESTIVAL Nº9,7441005620382,0.01,9.52,0.62,0.07,0.12
PAPEL HIGIENICO IDEAL 1000H 1X4 Z,7441010603424,GALLETA MAICENA DULCE DEL VALLE 230 GS,7443001260777,0.0,2.5,0.62,0.13,0.03
PAPEL HIGIENICO IDEAL 1000H 1X4 Z,7441010603424,ARROZ MAXIMO 99% 1.8 K Z,7441057501240,0.01,5.0,0.62,0.13,0.06
rebanadas de  queso amarillo la granja 8 uds.,7441001641725,DELIGUR FRUTAS 200ML,7441001602139,0.0,5.26,0.62,0.06,0.07
REFRESCO PEPSI 2.5 ML,7441009010158,sofrito roma 210 grs,731701016228,0.01,1.77,0.62,0.37,0.02
magnecia rey,7441013106014,Head and Shoulders Argan,7500435206020,0.0,5.0,0.62,0.06,0.06
PAN MOLIDO CLASICO 165G,5244,AVENA INTEGRAL MAXIMO 1 K,7441057503091,0.0,5.0,0.62,0.06,0.06
PAPEL ALUMINIO ALUMINE 16 PIES,7441067604597,Bic Cola 1.75L,7445072007992,0.0,9.09,0.61,0.04,0.12
PASTILLA TERROR FLORAL 50 GS,748928001241,CAFE 1820 MOLIDO 250GRS,7441006818276,0.0,9.09,0.61,0.04,0.12
CONDIMENTO LA ESTRELLA 75G,7441098100020,YOGURT CORONADO MORA 1LT.,7441013504148,0.01,2.47,0.61,0.26,0.03
BIZCOCHO PALMAREÑOS 30 GM.,7441155903014,TACO TORNITOS 180 GS,750894612642,0.0,7.14,0.61,0.05,0.09
BIZCOCHO PALMAREÑOS 30 GM.,7441155903014,MTSATRI62 TRIDENT CHICLE 5S TUTI FRUTTI 8G 21PAQUETITOS/DISPL 32DISPL/C 70C/T DISPL,7895800430002,0.0,7.14,0.61,0.05,0.09
LECHE CORONADO 946 ML,15000079,RODITAS,7441001045288,0.01,2.99,0.61,0.22,0.04
SMIRNOFF RASPBERRY .,764009014764,ALOE DOS PINOS 1.5L,7441001614071,0.0,3.23,0.61,0.1,0.04
MEJITOS FIESTA JACHS 300GRAMOS,7441001001949,LECHE CONDENSADA NESTLE 395G,7802950062809,0.0,7.69,0.61,0.04,0.1
TE MANZANILLA NATURAL BOLSA 25 UD,730345000020,MI SABOR ARROZ + FRIJOL,7441010645134,0.0,2.22,0.61,0.15,0.03
PANADOL NINO,7451079000126,APLICADORES DOBLES 100UND,7441000100186,0.0,3.7,0.61,0.09,0.05
CREMA DULCE DOS PINOS 250GRS,7441001604508,MERINDA PINA 3 L,764009006042,0.0,3.7,0.61,0.09,0.05
GALLETA ARTESANAL  ORIGINAL 300 GS,755111685126,Popi quseo cheddar 85g,7441001020070,0.0,7.14,0.61,0.05,0.09
BADIA PIMIENTA NEGRA MOL,33844000240,Gomita Gusano 80g,7702993048061,0.0,9.09,0.61,0.04,0.12
ATUN  PRONTO VEGETALES  240G,731701011742,ATUN PRONTO VEGETALES 140 G,731701014477,0.0,7.69,0.61,0.04,0.1
NATURAS SOFRITO CRIOLLO 210G,7411000313961,MTSATRI62 TRIDENT CHICLE 5S TUTI FRUTTI 8G 21PAQUETITOS/DISPL 32DISPL/C 70C/T DISPL,7895800430002,0.0,7.14,0.61,0.05,0.09
PALETA  FIGURA NAVIDAD,6976685700600,MECHAS LOCAS,7702174073264,0.0,3.45,0.61,0.09,0.05
SOPA INST LAKY RES 75G,7404001800035,COMINO MOLIDO,7441094102424,0.0,6.67,0.61,0.05,0.09
EMPANADA DE QUESO GUIGO 375,7443027410149,ATUN VEGETALES SARDIMAR 105GR,7441002600097,0.0,3.7,0.61,0.09,0.05
LECHE CONDENSADA NESTLE 395G,7802950062809,2 PACK PEPSI OFERTA,1709,0.0,3.23,0.61,0.1,0.04
soda 8+2 pozuelo,7441163404619,PAPEL HIGIENICO FLEN 4ROLLOS,7441057268044,0.01,4.23,0.61,0.23,0.06
Elotito limón,748757007414,LECHE DELACTOMY A2 L.,7441001638565,0.0,3.23,0.61,0.1,0.04
pROTEINA FRESA 250 ML,7441001644849,GALLETA CREMA MIXTA UND,86581015084,0.0,7.14,0.61,0.05,0.09
LUCEMA SPAGUETTI  250G,7441011611015,SOPA MAGGI OLLA DE CARNE 40G,7613032739690,0.01,12.12,0.61,0.11,0.16
QUESITOS DIANA 45G,748757007179,GALLETA ARTESANAS MANTEQUILLA 100 GS,755111685218,0.0,3.7,0.61,0.09,0.05
TRIDENT MENTA 18 PS,7506105606053,SALCHICHON CRIOLLO GNL  KIMBY,3418,0.0,9.09,0.61,0.04,0.12
TRIDENT MENTA 18 PS,7506105606053,Bic Cola 1.75L,7445072007992,0.0,9.09,0.61,0.04,0.12
FIJOL ROJO SIN PICA 800 GS,796500003596,LECHE CONDENSADA NESTLE 395G,7802950062809,0.0,7.69,0.61,0.04,0.1
ACEITE GIROL DE GIRASOL 1/2 LT Z,7790070012197,ATUN SARDIMAR LOMO TROZOS 140G,7441002637765,0.0,3.23,0.61,0.1,0.04
CUERDA MULTIUSO CONTRASTE,757962013103,Accesorios dama,133113,0.0,6.67,0.61,0.05,0.09
CONSOME MAGGI COSTIL CRI LAM12,7613032343019,GUARO CACIQUE 1000ML,762288000010,0.0,7.14,0.61,0.05,0.09
LECHE CORONADO 1 L 2 % z,7441013599083,CHICLE BUBBLE SODA FANTA GING 10 GS,603554060645,0.0,3.7,0.61,0.09,0.05
PERLA PARA QUEQUE,7441094102974,FANTA UVA 355 ML.,7441003596221,0.0,6.67,0.61,0.05,0.09
PAN BIMBO LIGHT 580 GS,7441029500097,GOMITA PIZZA QQ,6921101246620,0.0,6.67,0.61,0.05,0.09
ZORRITONE BARRA,765446140030,JUGUETE CARRO 111-4            2WD3-720,5678900111581,0.0,2.22,0.61,0.15,0.03
HARINA FLORES 1KILO Z,7441010410084,LECHE  SIN LACTOSA CORONADO 1 L,7441013501482,0.0,6.67,0.61,0.05,0.09
ZIBAS PAPA CREMA ESPECIES 26 GS,750894611805,SERVILLETA REGIO BLANCA  1X100,7441008147503,0.0,2.22,0.61,0.15,0.03
CREMA DULCE DOS PINOS 250GRS,7441001604508,CHICLE BUBBLE SODA FANTA GING 10 GS,603554060645,0.0,3.7,0.61,0.09,0.05
ZIBAS PAPA CREMA ESPECIES 26 GS,750894611805,ANGELITO FRESA,7441004100120,0.0,2.22,0.61,0.15,0.03
TOSTY MIX TOSTY 100G,7441000712686,MTSATRI57 TRIDENT CHICLE 5S HIERBABUENA 8G 21PAQUETITOS/DISPL 32DISPL/C 70C/T DISPL,7622201776572,0.0,6.67,0.61,0.05,0.09
TOSTY MIX TOSTY 100G,7441000712686,LECHE  SIN LACTOSA CORONADO 1 L,7441013501482,0.0,6.67,0.61,0.05,0.09
CHILE MALHER TROCITOS 156G,89674070403,GELATINA ROYAL FRAMBRUESA 80GR Z,7622300718985,0.01,2.7,0.61,0.24,0.04
GUAYABITA 18 U,7441001620263,SALSA LIZANO PLASTICA 280ML,747627005116,0.0,6.67,0.61,0.05,0.09
ZIBAS PAPA CREMA ESPECIES 26 GS,750894611805,GOMITA TRULULU CASSQUITOS 80 GS,7702993048108,0.0,2.22,0.61,0.15,0.03
pizza golosina yupi,8992741905619,BARRA CEREAL TRULULU,7702993056912,0.0,6.67,0.61,0.05,0.09
CHILE MALHER TROCITOS 156G,89674070403,PAPEL ALUMINIO ALUMINE 16 PIES,7441067604597,0.01,2.7,0.61,0.24,0.04
ZIBAS PAPA CREMA ESPECIES 26 GS,750894611805,PROTEX FRESH,99176922247,0.0,2.22,0.61,0.15,0.03
MANZANA ROJA GRANDE 88,552,ACHIOTIN EN CAJA 220GR,7443002260097,0.0,2.22,0.61,0.15,0.03
ARROLLADO DE CREMA 320G,86581311209,BARRA GRANOLA SOFT&CHEWY 24gr,96619313952,0.0,7.14,0.61,0.05,0.09
MANZANA ROJA GRANDE 88,552,DOVE ORIGINAL 30ML,78931633,0.0,2.22,0.61,0.15,0.03
ROMPOPE DELACTOMY CON NUECES CARAMELIZADAS 1L.,7441001648212,Fresca retornable 2.5,7441003505964,0.0,3.23,0.61,0.1,0.04
PAN BIMBO LIGHT 580 GS,7441029500097,Accesorios dama,133113,0.0,6.67,0.61,0.05,0.09
SOPA MAGGI COSTILLA CRIOLLA 58GR,88169007511,SOPA POLLO FIDEOS BAJO EN SAL 50 GS,8445290630841,0.0,3.7,0.61,0.09,0.05
